  n  | meja |     naivno     |    Strassen    |  razlika  |
-----|------|----------------|----------------|-----------|
   2 |    1 |           1036 |          10722 |     -9686 |
-----|------|----------------|----------------|-----------|
   4 |    2 |            966 |          13998 |    -13032 |
   4 |    1 |            852 |          52450 |    -51598 |
-----|------|----------------|----------------|-----------|
   8 |    4 |           5010 |          19096 |    -14086 |
   8 |    2 |           5040 |          79084 |    -74044 |
   8 |    1 |           1286 |         311564 |   -310278 |
-----|------|----------------|----------------|-----------|
  16 |    8 |           5512 |          24040 |    -18528 |
  16 |    4 |           7538 |         103622 |    -96084 |
  16 |    2 |           6338 |         365194 |   -358856 |
  16 |    1 |           4566 |        1387460 |  -1382894 |
-----|------|----------------|----------------|-----------|
  32 |   16 |          35032 |          47522 |    -12490 |
  32 |    8 |          29130 |         130854 |   -101724 |
  32 |    4 |          29432 |         457754 |   -428322 |
  32 |    2 |          35080 |        2124424 |  -2089344 |
  32 |    1 |          30758 |        8781304 |  -8750546 |
-----|------|----------------|----------------|-----------|
  64 |   32 |         222118 |         251412 |    -29294 |
  64 |   16 |         240860 |         439866 |   -199006 |
  64 |    8 |         249102 |        1000282 |   -751180 |
  64 |    4 |         248844 |        3179606 |  -2930762 |
  64 |    2 |         234892 |       11349782 | -11114890 |
-----|------|----------------|----------------|-----------|
 128 |   64 |        1804524 |        1737568 |     66956 |
 128 |   32 |        1807706 |        1893256 |    -85550 |
 128 |   16 |        1772694 |        2962174 |  -1189480 |
 128 |    8 |        1760210 |        6576294 |  -4816084 |
 128 |    4 |        1755736 |       20557604 | -18801868 |
-----|------|----------------|----------------|-----------|
 256 |  128 |       14858358 |       12705366 |   2152992 |
 256 |   64 |       14696254 |       12773588 |   1922666 |
 256 |   32 |       15705288 |       13793582 |   1911706 |
 256 |   16 |       15583338 |       21031640 |  -5448302 |
 256 |    8 |       15374508 |       46229650 | -30855142 |
-----|------|----------------|----------------|-----------|
 512 |  256 |      141145998 |      105070706 |  36075292 |
 512 |  128 |      143691560 |       91855112 |  51836448 |
 512 |   64 |      146055862 |       90793376 |  55262486 |
 512 |   32 |      145768084 |      100751352 |  45016732 |
 512 |   16 |      144633080 |      151051784 |  -6418704 |
-----|------|----------------|----------------|-----------|
